STATION,STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150401,170,-9999,569,13,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150501,188,-9999,1025,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150601,368,-9999,1394,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150701,1201,-9999,2704,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150801,1021,-9999,1588,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150901,150,-9999,680,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20151001,318,-9999,638,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20151101,447,-9999,930,0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140101,135,-9999,445,-9999,228,-77,130,12,71
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140201,635,-9999,1540,-9999,233,-16,175,67,121
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140301,574,-9999,1294,-9999,256,-10,190,79,135
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140401,287,-9999,698,-9999,278,61,232,145,189
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140501,465,-9999,1018,-9999,306,89,273,177,225
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140601,272,-9999,946,-9999,333,189,304,218,261
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140701,610,-9999,1196,-9999,350,167,315,219,267
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140801,137,-9999,282,-9999,378,194,330,230,280
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20140901,269,-9999,437,-9999,344,156,307,216,262
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20141001,526,-9999,767,-9999,300,72,269,135,202
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20141101,124,-9999,237,-9999,267,-66,190,53,122
GHCND:USW00003855,PENSACOLA FOREST SHERMAN NAS FL US,20141201,36,-9999,51,-9999,267,11,199,67,133
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20140501,323,-9999,377,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20140601,820,-9999,1760,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20140701,282,-9999,623,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20140801,599,-9999,1280,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20140901,343,-9999,1153,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20141001,244,-9999,542,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20141101,556,-9999,1323,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20141201,366,-9999,1048,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150101,419,-9999,968,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150201,518,-9999,968,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150301,150,-9999,624,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150401,772,-9999,1653,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150501,51,-9999,51,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150601,490,-9999,1522,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150701,452,-9999,1342,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150801,175,-9999,1161,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20150901,333,-9999,1107,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20151001,224,-9999,721,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20151101,323,-9999,915,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0070,POOLER 0.4 ENE GA US,20151201,312,-9999,910,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0072,SAVANNAH 9.4 SSE GA US,20151001,198,-9999,631,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0072,SAVANNAH 9.4 SSE GA US,20151101,297,-9999,561,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0072,SAVANNAH 9.4 SSE GA US,20151201,142,-9999,571,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20150301,168,216,247,249,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20150401,157,-9999,507,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20150501,155,-9999,929,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20150601,287,-9999,1111,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20150701,673,-9999,1962,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20150801,630,-9999,1274,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20150901,150,-9999,628,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20151001,292,-9999,683,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNSC0023,PRIOR LAKE 1.0 NE MN US,20151101,20,-9999,20,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20140401,549,-9999,656,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20140501,290,-9999,900,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20140601,226,-9999,1174,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20140701,660,-9999,1783,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20140801,356,-9999,1154,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20140901,330,-9999,1882,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20141001,231,-9999,478,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20141101,404,-9999,1297,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20141201,269,-9999,917,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150101,224,-9999,608,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150201,536,-9999,1029,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150301,132,-9999,577,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150401,676,-9999,1489,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150501,135,-9999,323,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150601,406,-9999,1007,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150701,422,-9999,783,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150801,726,-9999,2347,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20150901,234,-9999,1165,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20151001,97,-9999,438,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20151101,259,-9999,839,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0067,BLOOMINGDALE 4.7 SW GA US,20151201,259,-9999,765,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20140301,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20140401,279,-9999,360,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20140501,203,-9999,216,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20140601,292,-9999,626,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20140701,699,-9999,971,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20140801,699,-9999,1297,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1GACT0063,SAVANNAH 2.9 SE GA US,20140901,762,-9999,1280,0,-9999,-9999,-9999,-9999,-9999
